fldCustId|fldUserId|fldCustomerName|fldCustomerFlag|fldPasswordEncrMethod|fldPasswordEncrKey|fldAllowRegisterUs|fldIsEmpIdMandatory|fldDefURL|fldDefaultLanguageId|LogOutSetting|LogOutURL|fldisuse3customer|fldmaxstudentlimit|fldallowautomatedreports|fldallowadminssl|fldtimezoneid|Obselete_fldAllowStudentToEditProfile|Obselete_fldAllowStudentToChangeLanguage|fldDisplayEmployeeIDas|Obselete_fldAllowStudentToChangePassword|Obselete_fldAllowStudentToChangeEmailID|Obselete_fldAllowStudentToChangeEmpID|charAllowInheritance|charPrimaryKeyIdentifier|strLftpLocation|strUsername|strPassword|charAutomaticReminder_OLD|charUserPastDueMandatory_OLD|charUserPastDueOptional_OLD|charManagerPastDueMandatory_OLD|charManagerPastDueOptional_OLD|charManagerIncompleteMandatory_OLD|charManagerIncompleteOptional_OLD|charUserIncompleteMandatoryTraining_OLD|charUserIncompleteOptionalTraining_OLD|charRecurrenceType_OLD|intStartTimeHour_OLD|intStartTimeMinute_OLD|charStartTimeAMPM_OLD|dtmStartDate_OLD|fldsupportEmailId|fldsupportOption|charMyReport|intmaxcourses|fldAllowDomain|fldAllowLDAP|IntLogRetentionPeriod|CharUserEmailLog|fldPasswordMethod|fldSelfRegStudPass|fldAutoResetonFailure|fldHandleFailedCourses|Obsolete_intMinPasswordLength|Obsolete_chrIsPasswordUniquenessRequired|Obselete_CharManagerPermission|charIsEmailIdMandatory|charIsUserLoginWithEmailId|charIsUserLoginWithEmployeeId|charEcommerce|charSelfRegEmailVerification|fldAllowRegDivDepSelection|Obselete_charAllowUserToChangeHireDate|charCertificationCourseUnEnrollmentSetting|strTheme|strCustomName|bitDisplayForgotPasswordLink|bitDisplayLanguageSelector|Obselete_charAllowUserToChangeCompanyOrEmployer|Obselete_charAlloUserToChangeTimeZone|intFindUsersLimit|bitILT|bitIncludeiCalendarILT_OLD|bitIncludeiCalendarWBT_OLD|intILTSessionsLimit|SharedKey|bitRequireUserToAgreeTermsService|intEditionID|intAuthorCount|intManagerCount|intOrgAdminCount|intPasswordAdminCount|dtCreatedOn|strARBSubscriptionID|dtSubscriptionStartDate|strAccountGUID|bitDisplayPortalCalendarLink|bitDisplayLearnerCalendarlink|bitCertification|bitEnableCustomField|Obselete_charAllowStudentSCORMFootPrint|bitAllowManagerToChangeUserTranscript|bitPreserveCertificate|bitSendCertificateInPDF_OLD|bitEnableEmailNotifications_OLD|intInactivateUserGracePeriod|bitInactivateUser|bitEnrollMeInCourseDefaultFlag|bitIsEnableVolumeDiscount|strDefaultPage|bitIsFooterEnabled|intMinThreshold|intMaxThreshold|Obsolete_bitPasswordIncludeUpperCase|Obsolete_bitPasswordIncludeNumeric|Obsolete_bitPasswordIncludeSpecialChar|bitEnableAccountLockOutPolicy|intAccountLockoutFailedAttemptThreshold|bitEnableAccountUnLockPolicy|intAccountUnLockAfterMinutes|Obsolete_bitEnablePasswordExpirationPolicy|Obsolete_intPasswordValidForDays|strOldPasswordEncrMethod|bitIsBrandingEnabled|charCreatedByMethod|strEmailRelayOption|bitSwitchToNewLC|charAccountType|bitIsEAEIntegration|charEAEReportType|bitIsAppIntegration|bitSAMLVerificationEnable|bitShowCompletedCourses|bitIsUserMustChangePassword|bitIsSkipLearnerDashboard|bitIsZoltarEnable|sys_ROWVERSION|strCreatedByClient
12|30|werwexsqwrsa|I|SHA2|tMLFefRdd4J1fj2HmxTTI0TApyOXGxh55h8/zj8p8xw=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|hH32foPuwFxkpMfxwLouuXelzrMN2uQIxgr6uZV77Ow=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E5|NULL
13|33|asdf324|I|SHA2|Q4hc6tL/LpRemFOeHHMFbsUbLPwt4AKuS+cWyhONPjs=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|Hy0ai2sENni71Km+a5DH4njTnBJ8BwiQXbfxqYZqqJo=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E6|NULL
14|35|wwsdf|I|SHA2|0sILieUN7WpnRfTGMu/Ktpp2VOg6T73hkN/0ldJoSzM=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|gwTIXyoG4h6qmNUCrJOVRESfPDjOVIcNwSCwcMBV19Q=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E7|NULL
15|37|sdbvsd|I|SHA2|fatDO4IOjP01FUtoIW1gew217muWMeL94EAe6wX6RQg=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|FNhZP9NC0G4CW52KsSm4ekx0HqtBygxAdqgPVc2l1Kw=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E8|NULL
16|39|asdfddd334|I|SHA2|aLteXDm1eiszZr/6Mgowdlg+D18u3w2aNYpBnsUDG4M=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|nehjFGzIVYr8kJoiwvj5u9eGAUh4YiFQpj/Nw/x8eS4=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E9|NULL
17|41|vvdd|I|SHA2|hMwgXpFs3/8PzcYfT1bcNkjy0Z0UKZdQxCzHBlAGd6I=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|f9u9gu8sRBWTkuP5dTEW+vBZLVTTtcEtHpelAR6T1OU=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71EA|NULL
18|43|www|I|SHA2|pCDD8AcpPrAoYciQ5Bi6NUd6ZKno8Hm02A3KzwxcsLg=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|ich0w2ZQZkF4Fyyw0hgHNUhfoybd4Oh3BDNTZA0EuXI=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71EB|NULL
19|45|rrrr|I|SHA2|FsW1diBI4Ddh7Yppu1u6JDAPVxZjBRbjxPg9qHbNWlM=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|/iytZty6xcsALNh136kSrQFwZrSp7ufrRDkuDmvCKyU=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71EC|NULL
20|47|ttt|I|SHA2|BeVB4U4P4HBmwT8iNjbJqzAr3DNXDexjwW11BsAKOLE=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|T443RX9MuAALAaR088NwIvf+4AyLZJ70kfe9kta1bt8=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71ED|NULL
21|49|ccc|I|SHA2|wxWa0IXFlpt3zb45y3sdCIVyciVK++F7Y3zbrFhyEqc=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|WJbBcGl2T13b5+eORRUY6icC/GoQkRsu4kMKBTirMqg=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71EE|NULL
22|51|bbb|I|SHA2|b7v6ug2rzUmS5m2MhWa+k7PC8KvJbVvNeqT5yvchIUQ=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|7kksNJ4TeJIxgStMTPUVFbeO76Unp3p+oH/lTBa2TzQ=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71EF|NULL
23|53|ggg|I|SHA2|kJADjHucR1w2Klz/mLsK1DTELTJakYgcCrLytyze/2s=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|Ds/uRvzc8k9n0If0Bq9v5hTKfSSn2RZG9ibrFzHdC8o=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71F0|NULL
